Data Size,Put Throughput
1,8319831.084679
2,5344097.200987
4,2138109.628035
8,2920899.072755
16,2430668.474350
32,884321.777655
64,1307934.236592
128,1273077.968780
256,1016166.214881
512,957329.427101
1024,54346.478355
